Missed Bytes: 0, First Time: 5.664355516433716, Final Time: 5.664355516433716, RSSI Avg: -56.43609022556391, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.184111595153809, Final Time: 4.199718236923218, RSSI Avg: -59.686868686868685, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5809764862060547, Final Time: 2.5809764862060547, RSSI Avg: -66.9672131147541, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 64, First Time: 4.2283947467803955, Final Time: 34.33947539329529, RSSI Avg: -58.45, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.940436601638794, Final Time: 3.940436601638794, RSSI Avg: -56.86021505376344, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 64, First Time: 5.636756420135498, Final Time: 35.76756024360657, RSSI Avg: -53.7593984962406, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 64, First Time: 4.194131135940552, Final Time: 34.30973958969116, RSSI Avg: -56.666666666666664, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5762734413146973, Final Time: 2.5762734413146973, RSSI Avg: -63.032786885245905, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.228063344955444, Final Time: 4.228063344955444, RSSI Avg: -56.09, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.915179491043091, Final Time: 3.915179491043091, RSSI Avg: -56.903225806451616, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.601185083389282, Final Time: 5.601185083389282, RSSI Avg: -53.46616541353384, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.136759042739868, Final Time: 4.136759042739868, RSSI Avg: -56.35353535353536, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5779201984405518, Final Time: 2.5779201984405518, RSSI Avg: -62.98360655737705, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.201728343963623, Final Time: 4.201728343963623, RSSI Avg: -56.07, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.912578582763672, Final Time: 3.92820143699646, RSSI Avg: -56.30107526881721, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.62061071395874, Final Time: 5.62061071395874, RSSI Avg: -53.30827067669173, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.177008152008057, Final Time: 4.177008152008057, RSSI Avg: -55.78787878787879, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 64, First Time: 2.5753750801086426, Final Time: 32.703718423843384, RSSI Avg: -63.91803278688525, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 5.651211261749268, Final Time: 5.651211261749268, RSSI Avg: -53.49624060150376, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 64, First Time: 4.269798517227173, Final Time: 34.383177280426025, RSSI Avg: -57.7, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.922438383102417, Final Time: 3.922438383102417, RSSI Avg: -59.30107526881721, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 2.5760369300842285, Final Time: 2.5760369300842285, RSSI Avg: -64.60655737704919, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
